Lr: 1.062e-06 | Update: 2.051e-01 mean,4.038e-01 std | Epoch: [0][0/9415] | Time 3.937 (3.937) | Data 0.396 (0.396) | Loss 1.9749 (1.9749) | acc 0.521 (0.521) | IoU 0.268 (0.268) | [4 days, 17:19:06]
Lr: 1.168e-05 | Update: 8.415e-03 mean,1.690e-02 std | Epoch: [0][10/9415] | Time 0.062 (0.414) | Data 0.006 (0.041) | Loss 1.9882 (1.9581) | acc 0.522 (0.542) | IoU 0.270 (0.281) | [11:54:16]
Lr: 2.230e-05 | Update: 3.838e-03 mean,7.980e-03 std | Epoch: [0][20/9415] | Time 0.054 (0.246) | Data 0.004 (0.025) | Loss 1.9327 (1.9485) | acc 0.557 (0.547) | IoU 0.291 (0.284) | [7:04:09]
Lr: 3.293e-05 | Update: 2.208e-03 mean,4.728e-03 std | Epoch: [0][30/9415] | Time 0.058 (0.185) | Data 0.009 (0.019) | Loss 1.9229 (1.9377) | acc 0.560 (0.553) | IoU 0.291 (0.287) | [5:19:17]
Lr: 4.355e-05 | Update: 1.609e-03 mean,3.293e-03 std | Epoch: [0][40/9415] | Time 0.064 (0.154) | Data 0.012 (0.016) | Loss 1.9061 (1.9311) | acc 0.593 (0.559) | IoU 0.308 (0.290) | [4:25:59]
Lr: 5.417e-05 | Update: 2.259e-03 mean,4.894e-03 std | Epoch: [0][50/9415] | Time 0.059 (0.135) | Data 0.004 (0.014) | Loss 1.8071 (1.9190) | acc 0.612 (0.567) | IoU 0.326 (0.295) | [3:53:16]
Lr: 6.479e-05 | Update: 1.578e-03 mean,3.483e-03 std | Epoch: [0][60/9415] | Time 0.057 (0.122) | Data 0.004 (0.012) | Loss 1.8253 (1.9057) | acc 0.638 (0.575) | IoU 0.333 (0.299) | [3:31:36]
Lr: 7.541e-05 | Update: 2.012e-03 mean,1.063e-02 std | Epoch: [0][70/9415] | Time 0.057 (0.113) | Data 0.006 (0.012) | Loss 1.7289 (1.8906) | acc 0.705 (0.585) | IoU 0.370 (0.305) | [3:15:57]
Lr: 8.603e-05 | Update: 8.203e-04 mean,2.029e-03 std | Epoch: [0][80/9415] | Time 0.060 (0.107) | Data 0.006 (0.011) | Loss 1.7667 (1.8750) | acc 0.659 (0.595) | IoU 0.340 (0.310) | [3:04:22]
Lr: 9.665e-05 | Update: 5.826e-04 mean,1.156e-03 std | Epoch: [0][90/9415] | Time 0.062 (0.102) | Data 0.006 (0.010) | Loss 1.7156 (1.8598) | acc 0.698 (0.606) | IoU 0.364 (0.316) | [2:55:36]
Lr: 1.073e-04 | Update: 5.927e-04 mean,1.188e-03 std | Epoch: [0][100/9415] | Time 0.058 (0.098) | Data 0.006 (0.010) | Loss 1.6794 (1.8433) | acc 0.724 (0.617) | IoU 0.378 (0.322) | [2:48:35]
Lr: 1.179e-04 | Update: 5.244e-04 mean,1.026e-03 std | Epoch: [0][110/9415] | Time 0.071 (0.095) | Data 0.004 (0.010) | Loss 1.6336 (1.8258) | acc 0.760 (0.628) | IoU 0.403 (0.328) | [2:43:27]
Lr: 1.285e-04 | Update: 4.321e-04 mean,8.657e-04 std | Epoch: [0][120/9415] | Time 0.072 (0.092) | Data 0.007 (0.009) | Loss 1.6268 (1.8082) | acc 0.753 (0.639) | IoU 0.392 (0.334) | [2:39:29]
Lr: 1.391e-04 | Update: 4.736e-04 mean,9.551e-04 std | Epoch: [0][130/9415] | Time 0.066 (0.091) | Data 0.006 (0.009) | Loss 1.5711 (1.7915) | acc 0.814 (0.650) | IoU 0.430 (0.340) | [2:36:53]
Lr: 1.498e-04 | Update: 5.379e-04 mean,1.075e-03 std | Epoch: [0][140/9415] | Time 0.060 (0.089) | Data 0.006 (0.009) | Loss 1.4509 (1.7722) | acc 0.851 (0.661) | IoU 0.462 (0.347) | [2:34:00]
Lr: 1.604e-04 | Update: 3.564e-04 mean,6.825e-04 std | Epoch: [0][150/9415] | Time 0.064 (0.088) | Data 0.006 (0.009) | Loss 1.4822 (1.7550) | acc 0.826 (0.672) | IoU 0.440 (0.353) | [2:31:18]
Lr: 1.710e-04 | Update: 3.722e-04 mean,7.326e-04 std | Epoch: [0][160/9415] | Time 0.065 (0.087) | Data 0.006 (0.009) | Loss 1.3887 (1.7362) | acc 0.887 (0.682) | IoU 0.470 (0.359) | [2:29:05]
Lr: 1.816e-04 | Update: 3.590e-04 mean,6.845e-04 std | Epoch: [0][170/9415] | Time 0.068 (0.085) | Data 0.006 (0.008) | Loss 1.4475 (1.7188) | acc 0.853 (0.692) | IoU 0.465 (0.365) | [2:27:03]
Lr: 1.922e-04 | Update: 4.290e-04 mean,9.002e-04 std | Epoch: [0][180/9415] | Time 0.059 (0.085) | Data 0.006 (0.008) | Loss 1.4404 (1.7012) | acc 0.887 (0.702) | IoU 0.473 (0.370) | [2:25:28]
Lr: 2.029e-04 | Update: 2.927e-04 mean,5.599e-04 std | Epoch: [0][190/9415] | Time 0.073 (0.084) | Data 0.008 (0.008) | Loss 1.3399 (1.6848) | acc 0.892 (0.711) | IoU 0.473 (0.376) | [2:23:49]
Lr: 2.135e-04 | Update: 3.466e-04 mean,7.181e-04 std | Epoch: [0][200/9415] | Time 0.064 (0.083) | Data 0.007 (0.008) | Loss 1.2487 (1.6670) | acc 0.936 (0.720) | IoU 0.505 (0.381) | [2:22:24]
Lr: 2.241e-04 | Update: 2.577e-04 mean,4.939e-04 std | Epoch: [0][210/9415] | Time 0.066 (0.082) | Data 0.006 (0.008) | Loss 1.3158 (1.6511) | acc 0.894 (0.728) | IoU 0.486 (0.386) | [2:21:23]
Lr: 2.347e-04 | Update: 3.423e-04 mean,6.652e-04 std | Epoch: [0][220/9415] | Time 0.063 (0.082) | Data 0.006 (0.008) | Loss 1.2391 (1.6334) | acc 0.920 (0.737) | IoU 0.512 (0.391) | [2:20:12]
Lr: 2.454e-04 | Update: 4.402e-04 mean,9.221e-04 std | Epoch: [0][230/9415] | Time 0.068 (0.081) | Data 0.006 (0.008) | Loss 1.1505 (1.6168) | acc 0.928 (0.744) | IoU 0.520 (0.396) | [2:19:25]
Lr: 2.560e-04 | Update: 3.410e-04 mean,7.214e-04 std | Epoch: [0][240/9415] | Time 0.070 (0.081) | Data 0.006 (0.008) | Loss 1.2637 (1.6011) | acc 0.933 (0.751) | IoU 0.505 (0.400) | [2:18:44]
Lr: 2.666e-04 | Update: 2.787e-04 mean,5.352e-04 std | Epoch: [0][250/9415] | Time 0.073 (0.081) | Data 0.006 (0.008) | Loss 1.1822 (1.5860) | acc 0.924 (0.758) | IoU 0.528 (0.404) | [2:18:28]
Lr: 2.772e-04 | Update: 2.295e-04 mean,4.364e-04 std | Epoch: [0][260/9415] | Time 0.083 (0.081) | Data 0.006 (0.008) | Loss 1.1487 (1.5704) | acc 0.929 (0.764) | IoU 0.521 (0.409) | [2:18:20]
Lr: 2.878e-04 | Update: 3.511e-04 mean,7.553e-04 std | Epoch: [0][270/9415] | Time 0.063 (0.080) | Data 0.007 (0.008) | Loss 1.1324 (1.5535) | acc 0.940 (0.771) | IoU 0.505 (0.413) | [2:17:53]
Lr: 2.985e-04 | Update: 3.101e-04 mean,6.566e-04 std | Epoch: [0][280/9415] | Time 0.073 (0.080) | Data 0.008 (0.008) | Loss 1.0415 (1.5389) | acc 0.960 (0.776) | IoU 0.535 (0.417) | [2:17:44]
Lr: 3.091e-04 | Update: 2.241e-04 mean,4.150e-04 std | Epoch: [0][290/9415] | Time 0.081 (0.080) | Data 0.006 (0.008) | Loss 1.1191 (1.5238) | acc 0.935 (0.782) | IoU 0.520 (0.421) | [2:17:23]
Lr: 3.197e-04 | Update: 2.219e-04 mean,4.321e-04 std | Epoch: [0][300/9415] | Time 0.065 (0.080) | Data 0.006 (0.008) | Loss 1.0506 (1.5095) | acc 0.943 (0.787) | IoU 0.559 (0.425) | [2:16:57]
Lr: 3.303e-04 | Update: 2.447e-04 mean,4.564e-04 std | Epoch: [0][310/9415] | Time 0.086 (0.080) | Data 0.006 (0.007) | Loss 1.0870 (1.4955) | acc 0.944 (0.792) | IoU 0.520 (0.428) | [2:16:44]
Lr: 3.409e-04 | Update: 2.162e-04 mean,4.091e-04 std | Epoch: [0][320/9415] | Time 0.076 (0.080) | Data 0.007 (0.007) | Loss 0.9886 (1.4810) | acc 0.949 (0.796) | IoU 0.560 (0.432) | [2:16:26]
Lr: 3.516e-04 | Update: 2.479e-04 mean,4.720e-04 std | Epoch: [0][330/9415] | Time 0.071 (0.080) | Data 0.007 (0.007) | Loss 0.9633 (1.4668) | acc 0.954 (0.801) | IoU 0.599 (0.436) | [2:16:09]
Lr: 3.622e-04 | Update: 2.516e-04 mean,5.205e-04 std | Epoch: [0][340/9415] | Time 0.076 (0.080) | Data 0.006 (0.007) | Loss 1.0068 (1.4530) | acc 0.939 (0.805) | IoU 0.539 (0.440) | [2:15:56]
Lr: 3.728e-04 | Update: 2.166e-04 mean,4.008e-04 std | Epoch: [0][350/9415] | Time 0.077 (0.079) | Data 0.007 (0.007) | Loss 0.9503 (1.4389) | acc 0.942 (0.809) | IoU 0.602 (0.444) | [2:15:36]
Lr: 3.834e-04 | Update: 2.363e-04 mean,4.684e-04 std | Epoch: [0][360/9415] | Time 0.077 (0.079) | Data 0.007 (0.007) | Loss 0.9484 (1.4248) | acc 0.950 (0.813) | IoU 0.560 (0.448) | [2:15:12]
Lr: 3.941e-04 | Update: 1.978e-04 mean,3.702e-04 std | Epoch: [0][370/9415] | Time 0.077 (0.079) | Data 0.007 (0.007) | Loss 0.8906 (1.4105) | acc 0.967 (0.817) | IoU 0.589 (0.453) | [2:14:56]
